,_id,reference,question_id,topic_id
1227,851,TF209,851,2
1228,852,TF210,852,2
1229,853,TF211,853,2
1230,854,TF212,854,2
1231,855,TF213,855,2
1232,856,TF214,856,2
1233,857,TF301,857,2
1234,858,TF302,858,2
1235,859,TF303,859,2
1236,860,TF304,860,2
1237,861,TF305,861,2
1238,862,TF306,862,2
1239,863,TF307,863,2
1240,864,TF308,864,2
1241,865,TF309,865,2
1242,866,TF310,866,2
1243,867,TF311,867,2
1244,868,TF312,868,2
1245,869,TF313,869,2
1246,870,TF314,870,2
1247,871,TF315,871,2
1248,872,TF316,872,2
1249,873,TF317,873,2
1250,874,TF318,874,2
1251,875,TF319,875,2
1252,876,TF320,876,2
1253,877,TF321,877,2
1254,878,TF322,878,2
1255,879,TF323,879,2
1256,880,TF324,880,2
1257,881,TF325,881,2
1258,882,TF326,882,2
1259,883,TF327,883,2
1260,884,TF328,884,2
1261,885,TF329,885,2
1262,886,TF330,886,2
1263,887,TF401,887,2
1264,888,TF402,888,2
1265,889,TF403,889,2
1266,890,TF404,890,2
1267,891,TF405,891,2
1268,892,TF406,892,2
1269,893,TF407,893,2
1270,894,TF408,894,2
1271,895,TF409,895,2
1272,896,TF410,896,2
1273,897,TF411,897,2
1274,898,TF412,898,2
1275,899,TF413,899,2
1276,900,TF414,900,2
1277,901,TF415,901,2
1278,902,TF416,902,2
1279,903,TF417,903,2
1280,904,TF418,904,2
1281,905,TF419,905,2
1282,906,TF420,906,2
1283,907,TF421,907,2
1284,908,TF422,908,2
1285,909,TF423,909,2
1286,910,TF424,910,2
1287,911,TF425,911,2
1288,912,TF426,912,2
1289,913,TF427,913,2
1290,914,TF428,914,2
1291,915,TF429,915,2
1292,916,TF430,916,2
1293,917,TF431,917,2
1294,918,TF432,918,2
1295,919,TF433,919,2
1296,920,TF434,920,2
1297,921,TF435,921,2
1298,922,TF436,922,2
1299,923,TF437,923,2
1300,924,TF438,924,2
1301,925,TF439,925,2
1302,926,TF440,926,2
1303,927,TF441,927,2
1304,928,TF442,928,2
1305,929,TF501,929,2
1306,930,TF502,930,2
1307,931,TF503,931,2
1308,932,TF504,932,2
1309,933,TF505,933,2
1310,934,TF506,934,2
1311,935,TG101,935,2
1312,936,TG102,936,2
1313,937,TG103,937,2
1314,938,TG104,938,2
1315,939,TG105,939,2
1316,940,TG106,940,2
1317,941,TG107,941,2
1318,942,TG108,942,2
1319,943,TG109,943,2
1320,944,TG110,944,2
1321,945,TG111,945,2
1322,946,TG201,946,2
1323,947,TG202,947,2
1324,948,TG203,948,2
1325,949,TG204,949,2
1326,950,TG205,950,2
1327,951,TG206,951,2
1328,952,TG207,952,2
1329,953,TG208,953,2
1330,954,TG209,954,2
1331,955,TG210,955,2
1332,956,TG211,956,2
1333,957,TG212,957,2
1334,958,TG213,958,2
1335,959,TG214,959,2
1336,960,TG215,960,2
1337,961,TG216,961,2
1338,962,TG217,962,2
1339,963,TG218,963,2
1340,964,TG219,964,2
1341,965,TG220,965,2
1342,966,TG221,966,2
1343,967,TG222,967,2
1344,968,TG223,968,2
1345,969,TG224,969,2
1346,970,TG225,970,2
1347,971,TG226,971,2
1348,972,TG227,972,2
1349,973,TG228,973,2
1350,974,TG229,974,2
1351,975,TG230,975,2
1352,976,TG231,976,2
1353,977,TG232,977,2
1354,978,TG233,978,2
1355,979,TG234,979,2
1356,980,TG235,980,2
1357,981,TG236,981,2
1358,982,TG237,982,2
1359,983,TG238,983,2
1360,984,TG239,984,2
1361,985,TG240,985,2
1362,986,TG301,986,2
1363,987,TG302,987,2
1364,988,TG303,988,2
1365,989,TG304,989,2
1366,990,TG305,990,2
1367,991,TG306,991,2
1368,992,TG307,992,2
1369,993,TG308,993,2
1370,994,TG309,994,2
1371,995,TG310,995,2
1372,996,TG311,996,2
1373,997,TG312,997,2
1374,998,TG313,998,2
1375,999,TG314,999,2
1376,1000,TG315,1000,2
1377,1001,TG316,1001,2
1378,1002,TG317,1002,2
1379,1003,TG318,1003,2
1380,1004,TG401,1004,2
1381,1005,TG402,1005,2
1382,1006,TG403,1006,2
1383,1007,TG404,1007,2
1384,1008,TG405,1008,2
1385,1009,TG406,1009,2
1386,1010,TG501,1010,2
1387,1011,TG502,1011,2
1388,1012,TG503,1012,2
1389,1013,TG504,1013,2
1390,1014,TG505,1014,2
1391,1015,TG506,1015,2
1392,1016,TG507,1016,2
1393,1017,TG508,1017,2
1394,1018,TG509,1018,2
